Session,WCPM,Acc,Comp,Exp,level
40517,82.0,0.996,6.9,2.8,10
41887,37.0,0.981,4.9,1.4,6
42485,101.0,0.964,3.6,3.1,11
42611,137.0,1.0,6.8,3.9,15
42619,85.0,1.0,6.8,2.7,10
43613,89.0,1.0,5.4,2.6,10
43657,127.0,0.979,5.8,3.7,14
45417,114.0,1.0,6.7,3.1,13
45543,144.0,1.0,6.0,3.7,15
45795,27.0,0.753,3.2,1.5,5
46119,67.0,0.941,6.4,2.0,8
46722,107.0,0.8490000000000001,5.5,2.8,9
48614,125.0,0.975,7.0,3.5,14
49134,147.0,1.0,6.2,4.0,16
49262,95.0,0.95,6.9,2.8,11
49279,103.0,0.971,5.9,3.0,12
49361,143.0,0.988,7.3,3.8,15
49608,124.0,1.0,6.6,3.6,14
51095,183.0,0.919,6.4,3.8,22
51352,64.0,0.8690000000000001,3.4,2.2,8
51477,105.0,0.992,4.4,3.3,12
51502,49.0,0.934,6.3,1.7,7
51505,69.0,0.969,4.5,2.0,9
51555,100.0,0.992,5.5,2.8,11
51613,56.0,0.972,3.9,1.9,7
51680,105.0,0.996,5.0,2.8,12
51722,70.0,0.98,6.3,2.3,9
51867,95.0,1.0,4.0,3.0,11
51875,161.0,1.0,6.7,4.0,17
52020,51.0,0.963,5.4,1.8,7
52031,78.0,1.0,7.9,2.9,9
52095,56.0,0.991,7.4,2.1,7
52097,59.0,0.984,6.9,2.0,8
52104,145.0,0.992,4.7,3.8,15
52109,119.0,0.954,7.0,3.4,13
52115,93.0,0.983,5.3,2.7,11
52116,81.0,0.985,6.9,2.9,10
52119,144.0,0.901,4.7,3.5,15
52277,110.0,1.0,5.8,3.5,12
52354,86.0,0.996,6.4,2.6,10
52966,30.0,0.813,4.7,1.5,5
52983,32.0,0.636,2.0,1.3,5
52993,42.0,0.9,3.8,1.8,6
53176,59.0,0.936,4.7,2.1,8
53360,164.0,1.0,6.6,4.0,17
53387,57.0,0.972,4.2,1.9,8
53408,170.0,1.0,6.9,4.0,18
53533,112.0,0.968,6.9,2.9,12
30908,99.0,0.989,6.5,2.8,12
30915,45.0,0.813,3.8,1.6,7
31525,63.0,1.0,3.1,2.2,9
31788,76.0,1.0,6.0,2.9,10
31930,71.0,0.905,4.0,2.5,9
31942,83.0,0.967,5.4,2.4,11
32192,33.0,0.8270000000000001,5.1,1.4,6
32205,88.0,0.947,4.5,3.5,11
32210,41.0,0.7759999999999999,5.1,1.8,6
32213,101.0,1.0,6.7,3.2,12
32239,98.0,0.989,5.7,3.3,12
32258,26.0,0.7490000000000001,4.2,1.3,5
