Response,WCPM,Acc,Comp,Exp,level,WCPM_response,Comp_response,Exp_response,undetermined,1_or_2,2_unanimous,2_or_3,3_unanimous
701452,63.0,0.924,3.9,2.2,9,56.0,2.7,2.0,0,0,0,1,0
701456,63.0,0.924,3.9,2.2,9,88.7,5.3,2.5,0,0,0,0,1
701456,63.0,0.924,3.9,2.2,9,88.7,5.3,2.5,0,0,0,0,1
701456,63.0,0.924,3.9,2.2,9,88.7,5.3,2.5,0,0,0,0,1
701799,48.0,0.973,5.3,1.9,7,44.1,7.1,1.8,0,0,0,1,0
701799,48.0,0.973,5.3,1.9,7,44.1,7.1,1.8,0,0,0,1,0
701799,48.0,0.973,5.3,1.9,7,44.1,7.1,1.8,0,0,0,1,0
701799,48.0,0.973,5.3,1.9,7,44.1,7.1,1.8,0,0,0,1,0
701799,48.0,0.973,5.3,1.9,7,44.1,7.1,1.8,0,0,0,1,0
701803,48.0,0.973,5.3,1.9,7,51.5,5.3,1.7,0,0,0,0,1
701803,48.0,0.973,5.3,1.9,7,51.5,5.3,1.7,0,0,0,0,1
701803,48.0,0.973,5.3,1.9,7,51.5,5.3,1.7,0,0,0,0,1
701807,48.0,0.973,5.3,1.9,7,60.1,3.6,2.0,0,0,0,1,0
701807,48.0,0.973,5.3,1.9,7,60.1,3.6,2.0,0,0,0,1,0
701807,48.0,0.973,5.3,1.9,7,60.1,3.6,2.0,0,0,0,1,0
708879,33.0,0.759,3.5,1.5,6,37.0,4.2,1.5,0,0,0,0,1
718446,98.0,0.981,4.0,2.6,12,91.0,6.6,3.2,0,0,0,1,0
718446,98.0,0.981,4.0,2.6,12,91.0,6.6,3.2,0,0,0,1,0
718446,98.0,0.981,4.0,2.6,12,91.0,6.6,3.2,0,0,0,1,0
718446,98.0,0.981,4.0,2.6,12,91.0,6.6,3.2,0,0,0,1,0
718450,98.0,0.981,4.0,2.6,12,63.6,3.0,1.8,0,0,0,0,1
718450,98.0,0.981,4.0,2.6,12,63.6,3.0,1.8,0,0,0,0,1
718450,98.0,0.981,4.0,2.6,12,63.6,3.0,1.8,0,0,0,0,1
718454,98.0,0.981,4.0,2.6,12,110.8,3.0,3.0,0,0,0,0,1
718454,98.0,0.981,4.0,2.6,12,110.8,3.0,3.0,0,0,0,0,1
718454,98.0,0.981,4.0,2.6,12,110.8,3.0,3.0,0,0,0,0,1
719354,66.0,0.909,5.3,2.4,9,73.6,3.2,2.3,0,0,0,1,0
719354,66.0,0.909,5.3,2.4,9,73.6,3.2,2.3,0,0,0,1,0
719354,66.0,0.909,5.3,2.4,9,73.6,3.2,2.3,0,0,0,1,0
719354,66.0,0.909,5.3,2.4,9,73.6,3.2,2.3,0,0,0,1,0
719354,66.0,0.909,5.3,2.4,9,73.6,3.2,2.3,0,0,0,1,0
719358,66.0,0.909,5.3,2.4,9,79.5,5.2,2.5,0,0,1,0,0
719358,66.0,0.909,5.3,2.4,9,79.5,5.2,2.5,0,0,1,0,0
719362,66.0,0.909,5.3,2.4,9,66.5,7.5,2.3,0,0,0,1,0
719362,66.0,0.909,5.3,2.4,9,66.5,7.5,2.3,0,0,0,1,0
719362,66.0,0.909,5.3,2.4,9,66.5,7.5,2.3,0,0,0,1,0
725913,90.0,0.7190000000000001,2.6,2.1,8,95.2,4.0,2.6,0,0,0,0,1
725913,90.0,0.7190000000000001,2.6,2.1,8,95.2,4.0,2.6,0,0,0,0,1
725913,90.0,0.7190000000000001,2.6,2.1,8,95.2,4.0,2.6,0,0,0,0,1
725913,90.0,0.7190000000000001,2.6,2.1,8,95.2,4.0,2.6,0,0,0,0,1
725917,90.0,0.7190000000000001,2.6,2.1,8,54.6,2.5,1.9,0,0,0,0,1
725917,90.0,0.7190000000000001,2.6,2.1,8,54.6,2.5,1.9,0,0,0,0,1
725921,90.0,0.7190000000000001,2.6,2.1,8,93.3,2.0,2.6,0,0,0,0,1
725921,90.0,0.7190000000000001,2.6,2.1,8,93.3,2.0,2.6,0,0,0,0,1
727926,82.0,0.9440000000000001,5.2,2.9,11,79.8,6.1,2.1,0,0,0,1,0
727926,82.0,0.9440000000000001,5.2,2.9,11,79.8,6.1,2.1,0,0,0,1,0
727926,82.0,0.9440000000000001,5.2,2.9,11,79.8,6.1,2.1,0,0,0,1,0
727926,82.0,0.9440000000000001,5.2,2.9,11,79.8,6.1,2.1,0,0,0,1,0
727926,82.0,0.9440000000000001,5.2,2.9,11,79.8,6.1,2.1,0,0,0,1,0
727930,82.0,0.9440000000000001,5.2,2.9,11,82.2,5.0,2.7,0,0,0,0,1
727930,82.0,0.9440000000000001,5.2,2.9,11,82.2,5.0,2.7,0,0,0,0,1
727930,82.0,0.9440000000000001,5.2,2.9,11,82.2,5.0,2.7,0,0,0,0,1
727934,82.0,0.9440000000000001,5.2,2.9,11,115.5,4.6,3.4,0,0,0,0,1
727934,82.0,0.9440000000000001,5.2,2.9,11,115.5,4.6,3.4,0,0,0,0,1
727934,82.0,0.9440000000000001,5.2,2.9,11,115.5,4.6,3.4,0,0,0,0,1
738009,81.0,0.7959999999999999,4.9,2.4,7,86.0,6.7,2.6,0,0,0,0,1
738009,81.0,0.7959999999999999,4.9,2.4,7,86.0,6.7,2.6,0,0,0,0,1
738013,81.0,0.7959999999999999,4.9,2.4,7,91.3,4.0,2.7,0,0,0,1,0
738013,81.0,0.7959999999999999,4.9,2.4,7,91.3,4.0,2.7,0,0,0,1,0
738017,81.0,0.7959999999999999,4.9,2.4,7,101.5,3.9,2.8,0,0,0,0,1
738017,81.0,0.7959999999999999,4.9,2.4,7,101.5,3.9,2.8,0,0,0,0,1
744730,84.0,0.792,3.2,2.4,8,99.5,2.7,2.5,0,0,0,1,0
744730,84.0,0.792,3.2,2.4,8,99.5,2.7,2.5,0,0,0,1,0
744730,84.0,0.792,3.2,2.4,8,99.5,2.7,2.5,0,0,0,1,0
744730,84.0,0.792,3.2,2.4,8,99.5,2.7,2.5,0,0,0,1,0
744730,84.0,0.792,3.2,2.4,8,99.5,2.7,2.5,0,0,0,1,0
744734,84.0,0.792,3.2,2.4,8,82.1,4.1,2.4,0,0,0,1,0
744734,84.0,0.792,3.2,2.4,8,82.1,4.1,2.4,0,0,0,1,0
744738,84.0,0.792,3.2,2.4,8,116.6,2.9,3.2,0,0,0,0,1
744738,84.0,0.792,3.2,2.4,8,116.6,2.9,3.2,0,0,0,0,1
