item,token,not_sightword,not_decodable,not_decodable_at_grade_level
2201,find,,,
2201,homes,,,
2201,i,,,
2201,saw,,,
2201,a,,,
2201,flower,,,1
2201,growing,,,
2201,in,,,
2201,a,,,
2201,sidewalk,1,,
2201,i,,,
2201,wondered,1,,1
2201,how,,,
2201,the,,,
2201,plant,,,
2201,got,,,
2201,there,,1,
2201,seeds,1,,
2201,travel,1,,
2201,in,,,
2201,different,1,,
2201,ways,,,
2201,some,,1,
2201,seeds,1,,
2201,just,,,
2201,drop,1,,
2201,to,,,
2201,the,,,
2201,ground,,,
2201,the,,,
2201,wind,,1,
2201,or,,,
2201,birds,,,
2201,carry,1,,1
2201,seeds,1,,
2201,to,,,
2201,new,,,
2201,places,,,1
2201,nearby,1,,1
2201,or,,,
2201,far,,,
2201,away,,,
2201,water,,,1
2201,can,,,
2201,take,,,
2201,seeds,1,,
2201,on,,,
2201,a,,,
2201,journey,1,1,
2201,some,,1,
2201,animals,,,
2201,hide,,,
2201,seeds,1,,
2201,in,,,
2201,the,,,
2201,ground,,,
2201,seeds,1,,
2201,can,,,
2201,stick,,,
2201,to,,,
2201,an,,,
2201,animal's,,,1
2201,fur,1,,
2201,or,,,
2201,to,,,
2201,a,,,
2201,person's,1,,1
2201,socks,1,,
2201,when,,,
2201,the,,,
2201,seeds,1,,
2201,fall,,,
2201,on,,,
2201,the,,,
2201,ground,,,
2201,they,,,
2201,wait,,,
2201,for,,,
2201,sun,,,
2201,and,,,
2201,water,,,1
2201,to,,,
2201,grow,,,
2202,room,,,
2202,six,,,
2202,is,,,
2202,learning,1,1,
2202,to,,,
2202,grow,,,
2202,plants,1,,
2202,each,,,
2202,student,1,,1
2202,has,,,
2202,a,,,
2202,plant,,,
2202,and,,,
2202,a,,,
2202,pot,,,
2202,the,,,
2202,kids,1,,
2202,will,,,
2202,learn,1,1,
2202,to,,,
2202,take,,,
2202,care,,,
2202,of,,,
2202,the,,,
2202,houseplants,1,,
2202,as,,,
2202,they,,,
2202,grow,,,
2202,everyday,1,1,
2202,they,,,
2202,will,,,
2202,write,1,,1
2202,in,,,
2202,their,,1,
2202,journals,1,1,
2202,as,,,
2202,they,,,
2202,learn,1,1,
2202,about,,,1
2202,the,,,
2202,needs,,,
2202,of,,,
2202,their,,1,
2202,plants,1,,
2202,at,,,
2202,the,,,
2202,end,,,
2202,of,,,
2202,the,,,
2202,school,,,1
2202,year,1,,
2202,they,,,
2202,will,,,
2202,take,,,
2202,their,,1,
2202,plants,1,,
2202,home,,,
2202,but,,,
2202,for,,,
2202,now,,,
2202,the,,,
2202,classroom,1,,
2202,is,,,
2202,much,,,
2202,greener,,,1
2202,with,,,
2202,so,,,
2202,many,,1,
2202,different,1,,
2202,plants,1,,
2202,around,,,1
2202,the,,,
2202,room,,,
310,meg,1,,
310,wanted,,,
310,to,,,
310,bake,,,
310,a,,,
310,pie,1,,1
310,she,,,
310,asked,,,
310,her,,,
310,mother,,1,
310,for,,,
310,help,,,
310,they,,,
310,measured,1,,1
310,the,,,
310,flour,1,,
310,sugar,1,1,
310,and,,,
310,butter,1,,
310,for,,,
310,the,,,
310,crust,1,,
310,her,,,
310,mother,,1,
310,showed,,,
310,her,,,
310,how,,,
310,to,,,
310,roll,1,,
310,out,,,
310,the,,,
310,crust,1,,
310,meg,1,,
310,sliced,1,,1
310,the,,,
310,apples,,,1
310,and,,,
310,put,,1,
310,them,,1,
310,in,,,
310,the,,,
310,pie,1,,1
310,pan,1,,
310,they,,,
310,put,,1,
310,the,,,
310,pie,1,,1
310,in,,,
310,the,,,
310,hot,,,
310,oven,1,1,
310,and,,,
310,waited,,,
310,forty,,,
310,five,,,
310,minutes,,1,
310,as,,,
310,the,,,
310,pie,1,,1
310,baked,,,1
310,a,,,
310,delicious,1,,1
310,smell,,,
310,filled,,,
310,the,,,
310,kitchen,1,,1
310,when,,,
310,the,,,
310,timer,,,
310,rang,1,,
310,they,,,
310,took,,,
310,the,,,
310,pie,1,,1
310,out,,,
310,of,,,
310,the,,,
310,oven,1,1,
310,and,,,
310,set,1,,
310,it,,,
310,on,,,
310,the,,,
310,window,,,
310,sill,1,,
310,to,,,
310,cool,1,,
2102,have,,,
2102,you,,,
2102,seen,,,
2102,a,,,
2102,mound,1,,
2102,of,,,
2102,dirt,1,,
2102,in,,,
2102,the,,,
2102,middle,1,,1
2102,of,,,
2102,a,,,
2102,lawn,1,,
2102,it,,,
2102,may,,,
2102,be,,,
2102,made,,,
2102,by,,,
2102,a,,,
2102,small,,,
2102,furry,1,,1
2102,animal,,,
2102,called,1,,
2102,a,,,
2102,mole,1,,
2102,moles,1,,1
2102,are,,,
2102,about,,,1
2102,six,,,
2102,inches,1,,
2102,long,,,
2102,they,,,
2102,have,,,
2102,tiny,1,,1
2102,eyes,,1,
2102,because,,,1
2102,they,,,
2102,don't,,,
2102,have,,,
2102,to,,,
2102,see,,,
2102,well,,,
2102,under,,,
2102,the,,,
2102,ground,,,
2102,they,,,
2102,have,,,
2102,a,,,
2102,long,,,
2102,pointed,1,,
2102,nose,,,
2102,and,,,
2102,strong,1,,
2102,legs,1,,
2102,they,,,
2102,use,,,
2102,their,,1,
2102,sharp,1,,
2102,claws,1,,
2102,to,,,
2102,dig,1,,
2102,tunnels,1,,
2102,under,,,
2102,the,,,
2102,ground,,,
2102,they,,,
2102,are,,,
2102,among,1,1,
2102,the,,,
2102,best,,,
2102,diggers,1,,1
2102,in,,,
2102,the,,,
2102,animal,,,
2102,world,1,,1
2302,amy,1,,1
2302,and,,,
2302,brad,1,,
2302,went,,,
2302,biking,,,1
2302,they,,,
2302,stopped,,,
2302,at,,,
2302,a,,,
2302,pond,1,,
2302,they,,,
2302,looked,,,
2302,into,,1,
2302,the,,,
2302,water,,,1
2302,and,,,
2302,saw,,,
2302,what,,,
2302,looked,,,
2302,like,,,
2302,a,,,
2302,pile,1,,
2302,of,,,
2302,jelly,1,,1
2302,it,,,
2302,was,,1,
2302,covered,1,1,
2302,with,,,
2302,black,,,
2302,dots,1,,
2302,amy,1,,1
2302,took,,,
2302,a,,,
2302,leaf,1,,
2302,to,,,
2302,collect,1,,1
2302,some,,1,
2302,of,,,
2302,the,,,
2302,strange,1,,1
2302,jelly,1,,1
2302,when,,,
2302,they,,,
2302,brought,1,,1
2302,it,,,
2302,home,,,
2302,their,,1,
2302,mother,,1,
2302,explained,1,,
2302,that,,,
2302,the,,,
2302,jelly,1,,1
2302,was,,1,
2302,just,,,
2302,frog,,,
2302,eggs,1,,
2302,the,,,
2302,kids,1,,
2302,left,1,,
2302,the,,,
2302,leaf,1,,
2302,in,,,
2302,some,,1,
2302,water,,,1
2302,for,,,
2302,a,,,
2302,few,1,,
2302,days,,,
2302,the,,,
2302,black,,,
2302,spots,1,,
2302,grew,,,
2302,until,,,
2302,they,,,
2302,turned,,,
2302,into,,1,
2302,tadpoles,1,,1
2302,swimming,,,1
2302,around,,,1
2302,in,,,
2302,the,,,
2302,water,,,1
420,an,,,
420,hour,1,1,
420,ago,,,
420,the,,,
420,sun,,,
420,was,,1,
420,bright,1,,
420,the,,,
420,sky,,,
420,had,,,
420,been,,1,
420,its,,,
420,familiar,1,1,
420,blue,,,
420,but,,,
420,now,,,
420,it,,,
420,is,,,
420,nearly,,,
420,dark,,,
420,at,,,
420,three,,,
420,pm,,1,
420,a,,,
420,solar,1,,
420,eclipse,1,,
420,is,,,
420,causing,1,,1
420,this,,,
420,unusual,1,,1
420,event,1,,
420,the,,,
420,moon,1,,
420,is,,,
420,passing,1,,
